from,to,tarif-unit,ix,dist
mz,wt,7,839,8.0
dtch,dtc,2,840,2.5
asb,ut,27,841,27.2
hnp,wk,4,842,3.7
bl,asn,16,843,15.6
otb,ah,4,844,4.2
zp,vd,12,845,9.4
eml,hd,4,846,4.0
alm,lls,24,847,22.7
gnn,gn,4,848,2.2
rm,ec,13,849,13.1
krg,bzl,6,850,5.9
co,dln,4,851,3.7
hdb,co,13,852,12.4
sd,brn,5,853,3.0
mes,mt,5,854,4.8
bll,sptz,2,855,1.7
amf,zl,66,856,62.6
dei,lw,4,857,4.3
ehv,hmbv,10,858,9.0
dn,hrt,18,859,17.9
dt,sdm,10,860,10.2
apd,apdm,1,861,2.1
o,nm,24,862,23.7
sgn,ana,9,863,9.2
dv,dvc,4,864,3.8
za,est,11,865,9.1
ost,dv,10,866,9.2
akm,gw,5,867,4.9
almb,alm,6,868,4.6
ddr,rsd,38,869,33.0
dtc,gdr,5,870,4.7
hn,hnk,0,871,2.3
sptz,sptn,2,872,1.6
dln,na,7,873,6.7
ah,est,11,874,8.2
apdm,kbk,8,875,6.4
wk,ijt,13,876,11.7
hd,ns,12,877,11.8
hvs,asd,30,878,25.6
almo,lls,16,879,16.5
ht,ehv,32,880,30.4
zl,rat,18,881,17.8
lc,zp,17,882,16.0
bzl,gs,5,883,4.9
sptn,drh,0,884,1.0
dvd,asdz,4,885,4.7
gdr,tbg,1,886,1.4
gw,lw,13,887,12.1
dvc,hon,15,888,14.5
vs,mdb,6,889,5.6
asa,asd,6,890,3.8
vd,rl,10,891,9.5
ah,dr,16,892,15.5
drh,bv,6,893,4.2
ec,srn,5,894,4.5
hvs,ndb,7,895,6.3
hmbv,hmh,3,896,1.8
alm,dvd,21,897,19.9
tbg,vsv,7,898,6.7
hmh,hm,0,899,2.3
ana,hdrz,12,900,7.9
ns,hde,9,901,8.5
na,emnz,5,902,3.8
cas,bv,10,903,7.5
est,ah,11,904,8.2
zl,asn,78,905,63.0
kbk,vem,5,906,4.7
est,za,11,907,9.1
mdb,gs,19,908,18.9
dv,zp,16,909,12.7
hvs,brn,7,910,7.0
srn,std,7,911,6.6
gs,arn,15,912,15.3
hrt,br,10,913,9.9
apd,dv,15,914,14.0
bv,hk,3,915,2.8
lls,zl,42,916,41.9
wt,rm,24,917,21.2
ijt,sk,3,918,3.2
db,ed,29,919,28.6
hm,hmbh,0,920,2.8
gn,asn,28,921,24.3
emnz,emn,4,922,4.9
rl,ltv,13,923,12.7
vem,zp,4,924,3.7
zh,gn,12,925,11.4
ndb,ampo,7,926,7.0
aml,nvd,13,927,13.1
hon,rsn,7,928,7.5
hde,wz,9,929,8.9
hk,utg,3,930,3.1
hmbh,dn,9,931,6.3
vsv,atn,9,932,8.4
brn,amf,9,933,8.6
hdrz,hdr,0,934,2.5
hvsp,uto,15,935,12.5
